"","ISO3","AGE GROUPS","TBI.prev.2001","TBI.prev.2006","TBI.prev.2011","TBI.prev.2016"
"63","AUT","25-54",0.0623115455325059,0.0485807734993025,0.0372875856659144,0.0294484810234761
"64","AUT","55-64",0.17399266726539,0.115331673166481,0.0837894193690486,0.0706861854840847
"65","AUT","65+",0.371642000746818,0.317441444712168,0.224790762723804,0.17892959657927
"66","AZE","0-14",0.157798393906622,0.149931647698366,0.0920045221009966,0.036149818684791
"67","AZE","15-24",0.574449780833047,0.423078361078626,0.326738053019266,0.22787050210714
"68","AZE","25-54",0.984950582630179,0.949067468673101,0.871711378215808,0.771821980531552
"69","AZE","55-64",1,0.999022237244174,0.999999997074034,0.999194612757447
"70","AZE","65+",1,1,1,0.999803253250433
"71","BDI","0-14",0.0496168800580614,0.0476726965843346,0.0321102877705535,0.0235948946745167
"72","BDI","15-24",0.150841778794835,0.137127511248021,0.115731036451051,0.0940557185483162
"73","BDI","25-54",0.428736957716603,0.38938129641516,0.341008674607003,0.290010546946479
"74","BDI","55-64",0.687723491279244,0.618502448262936,0.583690790606682,0.519267295822118
"75","BDI","65+",0.876545571347454,0.841959920487904,0.777599475614691,0.650615179154488
"76","BEL","0-14",0.00337062809074295,0.00282788094768917,0.00244011903386601,0.0021656141095903
"77","BEL","15-24",0.010139348133012,0.00777443204146972,0.00681688461569975,0.00588756325585811
"78","BEL","25-54",0.0433654262783537,0.0345955268901437,0.0282030118777929,0.0234413184793157
"79","BEL","55-64",0.105442354951252,0.0775537795188104,0.0575883603341493,0.0478677804957753
"80","BEL","65+",0.189396377077834,0.16385516426628,0.129162885228488,0.105594719539913
