"","year","TBI.prev","TBI.prev.high","TBI.prev.low"
"1",2001,0.216235459194893,0.347323455054317,0.13007103296038
"2",2006,0.213868879661548,0.328915938668744,0.137474012800157
"3",2011,0.199891912031484,0.295797851180292,0.137746468446325
"4",2016,0.196161360586212,0.280703701883433,0.141365576776927
